link,id_company,company_name,company_address,company_size,company_website,company_type,company_details,company_logo
https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-tap-doan-xay-dung-delta.35A8D9D6.html,35A8D9D6,CÔNG TY TNHH TẬP ĐOÀN XÂY DỰNG DELTA,"Số 81, Phố Lạc Trung, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Thành Phố Hà Nội, Việt Nam.",Qui mô công ty: 1.000-4.999,,Loại hình hoạt động: Trách nhiệm hữu hạn,"Năm 1986, chính sách mới của Đại hội Đảng VI đã gợi mở, khuyến khích các thành phần kinh tế phát triển, giải phóng năng lực sản xuất của xã hội để mở đường cho phát triển sản xuất. DELTA là một trong các doanh nghiệp tư nhân đầu tiên của Việt nam ra đời từ chủ trương đổi mới này.
Tháng 1 năm 1993, khi đang làm giám đốc Trung tâm nghiên cứu ứng dụng kỹ thuật xây dựng thuộc Trường Đại học xây dựng, ông Trần Nhật Thành quyết định thành lập Công ty TNHH xây dựng dân dụng và công nghiệp DELTA.
DELTA đặc biệt bởi việc hội tụ những chuyên gia uy tín trong ngành xây dựng với mong muốn mang những kiến thức tích lũy được, những nghiên cứu lý thuyết vào ứng dụng thực tiễn. Phương hướng của công ty là đi vào những lĩnh vực khó đòi hỏi lương tâm và tri thức của đội ngũ nhân lực trình độ cao, áp dụng công nghệ xây dựng môt cách tối đa.
Trải qua 25 năm xây dựng và phát triển, DELA đã trở thành Tập đoàn Xây dựng lớn mạnh với 12 công ty thành viên, 2516 cán bộ kỹ sư, kiến trúc sư và hệ thống thiết bị máy móc đồng bộ, hiện đại hoạt động trong lĩnh vực xây dựng. Các công trình tiêu biểu trong rất nhiều các công trình mà DELTA đã thực hiện trên khắp mọi miền đất nước là: Bitexco Financial Tower, Dophin Tower, Keangnam Landmark, Sky City, Eden Center, Times City, Royal City, Goldmark City, Vinhome Center City, Vinpearl Phú Quốc….
Tập đoàn DELTA được đánh giá là nhà thầu hàng đầu trong thi công phần hầm công trình và là một trong năm công ty xây dựng hàng đầu Việt Nam trong ngành xây dựng dân dụng và công nghiệp",https://images.careerviet.vn/employer_folders/lot2/258262/148x148/175840images.png
https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-sx-tm-dv-tan-tuong-khang.35A94009.html,35A94009,CÔNG TY TNHH SX-TM-DV TÂN TƯỜNG KHANG,"Lô F1&F2, Đường D2&N5, KCN Nam Tân Uyên, Khánh Bình, Tân Uyên, Bình Dương",Qui mô công ty: 500-999,Website: http://tantuongkhang.vn/,Loại hình hoạt động: Trách nhiệm hữu hạn,"Công Ty Tân Tường Khang là nhà sản xuất và cung ứng sản phẩm ống hút, bao bì nhựa thực phẩm hàng đầu tại Việt Nam.
Được thành lập từ năm 1993, trải qua hơn 30 năm phát triển, Công ty Tân Tường Khang đa dạng sản xuất các sản phẩm nhựa ( PS, PP, PET, rPET, PLA) gồm:
-          Ống hút nhựa, các sản phẩm dạng ống, que dùng trong thực phẩm và công nghiệp.
-          Sản phẩm bao bì nhựa định hình dùng trong thực phẩm và công nghiệp
Các sản phẩm thương hiệu ống hút, bao bì nhựa dùng một lần Tân Tường Khang đã có mặt khắp các tỉnh thành trên Việt Nam với hơn 800 đại lý/ NPP toàn quốc và xuất khẩu ra thị trường quốc tế như Mỹ, Canada, Nhật Bản, Đài Loàn, Ấn Độ, Singapore, Anh,… đáp ứng mọi nhu cầu của khách hàng.
Bên cạnh đó, Tân Tường Khang hiện là đối tác sản xuất gia công cho các đối tác lớn trong ngành công nghiệp thực phẩm và F&B như: Vinamilk, Vinasoy, Vita Dairy, IDP, Nutifood, Highland Coffe, Lotteria, ICHIBAN, Cholimex Foods, Minh Phú, Ba Huân, CP, ….",https://images.careerviet.vn/employer_folders/lot5/284425/148x148/105327logolon.png
https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-thoi-trang-ngado.35A879F3.html,35A879F3,CÔNG TY TNHH THỜI TRANG NGADO,"11A Sông Đà, Phường 2, Quận Tân Bình, TP.HCM",Qui mô công ty: 25-99,Website: https://ngado.com.vn/,Loại hình hoạt động: Trách nhiệm hữu hạn,"CÔNG TY TNHH THỜI TRANG NGADO hoạt động lĩnh vực sản xuất may mặc và bán lẻ  thời trang. Công ty đơn vị chủ quản thương hiệu thời trang thiết kế NGADO được thành lập vào năm 2016.
Sứ mệnh của NGADO là mang lại sự tự tin, nâng tầm phong cách qua những thiết kế che đi khuyết điểm cơ thể và tôn vinh vẻ đẹp của người phụ nữ.
NGADO truyền cảm hứng và làm thay đổi xu hướng thời trang xưa cũ đồng thời thay đổi diện mạo cũng như cách nhìn về thời trang cho phụ nữ hiện đại, tự tin, bản lĩnh là những điều mà chúng tôi luôn muốn gửi gắm trong từng sản phẩm.
Hướng phát triển của NGADO là trở thành một thương hiệu thời trang thiết kế với chuỗi cửa hàng phủ sóng toàn quốc, được người tiêu dùng biết đến như một thương hiệu thời trang quốc dân cũng như vươn tầm ra thế giới.",https://images.careerviet.vn/employer_folders/lot5/233715/148x148/142224hinhlogongado.jpg
https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-phuong-tien-dien-thong-minh-selex.35A907CE.html,35A907CE,Công Ty Cổ Phần Phương Tiện Điện Thông Minh Selex,"Số 56, Ngõ 18 Mạc Thái Tổ, Cầu Giấy, Hà Nội",Qui mô công ty: 25-99,,Loại hình hoạt động: Cổ phần,"Thành lập vào năm 2018, Selex Motors là một startup tiên phong trong lĩnh vực xe điện thông minh ở Việt Nam và khu vực Đông Nam Á. Mục đích của chúng tôi là phát triển các phương tiện điện thông minh và đưa năng lượng xanh vào giao thông để giúp xây dựng một tương lai Việt Nam bền vững. Hiện tại chúng tôi đang phát triển các mẫu xe máy điện thế hệ mới và các giải pháp về pin với mục tiêu thúc đẩy sự phổ cập của xe máy điện trong tương lai gần. Chúng tôi tập trung sâu vào nghiên cứu, phát triển để làm chủ các năng lực và công nghệ lõi, làm nền tảng để cạnh tranh và phát triển lâu dài. Tầm nhìn của chúng tôi là sẽ xây dựng Selex Motors trở thành tập đoàn công nghệ hàng đầu Việt Nam và tầm cỡ quốc tế.
Selex Motors là 1 tập thể có trình độ cao, có kinh nghiệm học tập và làm việc từ nhiều nước trên thế giới như Mỹ, Isarel, Nhật, Hàn Quốc, Đài loan... và từ nhiều tập đoàn lớn như Nissan, Ford, GM, PROTON, SYM, Viettel ... Chúng tôi cùng chia sẻ khát vọng xây dựng 1 công ty công nghệ sâu, phát triển bền vững, lâu dài có khả năng cạnh tranh với thế giới. Chúng tôi dũng cảm từ bỏ những lợi ích ngắn hạn và thoát khỏi vùng thoải mái, dẫn thân đón nhận thách thức để kiến tạo những giá trị lớn lao cho cộng đồng và Đất nước.
Với sự đồng hành của các quỹ đầu tư uy tín, trong đó có Ngân hàng phát triển châu Á ADB, chúng tôi đang phát triển nhanh và đang tìm kiếm các nhân sự tài năng và tâm huyết để giải quyết các bài toán thử thách trong nhiều lĩnh vực.
Hơn thế nữa, trong tháng 1 vừa qua chúng tôi gọi vốn thành công 2,1 triệu đô vòng tiền hạt giống dẫn đầu bởi Touchstone Partners, vòng gọi vốn này còn có sự tham gia của các nhà đầu tư như ADB Ventures – quỹ đầu tư mạo hiểm của Ngân hàng Phát triển châu Á và Nextrans. Số vốn nhận được trong vòng đầu tư này sẽ được sử dụng để mở rộng hoạt động nghiên cứu phát triển (R&D), mở rộng quy mô sản xuất tại nhà máy mới ở khu vực Hà Nội và bắt đầu đưa sản phẩm vào vận hành chính thức với các khách hàng doanh nghiệp đầu tiên. Đây chính là thời điểm công ty bước vào giai đoạn phát triển mạnh mẽ và nhanh chóng, vươn ra thị trường đáp ứng nhu cầu cấp thiết của khách hàng.
Tại Selex Motors, chúng tôi luôn tìm kiếm các bạn trẻ tài năng, tâm huyết và có ý chí. Với chúng tôi các bạn sẽ có cơ hội được rèn giũa và trưởng thành nhanh chóng qua những việc khó và ý nghĩa. Các bạn sẽ được tham gia những dự án phát triển sản phẩm công nghệ tiên tiến, dưới sự dẫn dắt của các kỹ sư và chuyên gia giàu kinh nghiệm. Ở Selex Motors, các bạn được khuyến khích dẫn thân, làm những việc ""không thể"" và trưởng thành qua thất bại. Chúng tôi cũng có các chương trình đào tạo toàn diện, cả về chuyên môn lẫn kỹ năng mềm, để các thành viên có thể phát huy được bản thân tốt nhất trong các môi trường thử thách.",https://images.careerviet.vn/employer_folders/lot0/270030/148x148/110300logoselexfinalfinal-06-002.png
https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-ipp-group.35A8AA88.html,35A8AA88,Công Ty Cổ Phần IPP Group,"299/12 Lý Thường Kiệt, Phường 15, Quận 11, Tp. Hồ Chí Minh",Qui mô công ty: 25-99,Website: https://ipp.com.vn/,Loại hình hoạt động: Cổ phần,"Chúng tôi là nhà nhập khẩu và phân phối độc quyền các mặt hàng tiêu dùng nhanh. Đặc biệt là các loại thực phẩm, đồ uống đến từ Hàn Quốc và Thái Lan.
IPP – “International Premium Products”. Chúng tôi hướng đến các sản phẩm chất lượng cao, nhằm nâng cao chất lượng cuộc sống cho người tiêu dùng Việt.
Các thương hiệu đang được IPP Group phân phối độc quyền tại Việt Nam như: Rong biển Taokaenoi, Sữa hạt 137 Degree, Hạt hạnh nhân HBAF, Nước thạch Mogu, Khăn giấy Tempo,....
Mạng lưới phân phối phủ khắp cả nước từ các siêu thị lớn nhỏ, chuỗi cửa hàng tiện tại đến các cửa hàng tạp hóa như: GO!, Co.opMart, Vincommerce, Ministop, Circle k,.....",https://images.careerviet.vn/employer_folders/lot2/246152/148x148/164412capture.png
https://careerviet.vn/vi/nha-tuyen-dung/koei-tecmo-software-vietnam.35A746F2.html,35A746F2,Koei Tecmo Software Vietnam,"Tầng 17, Tòa nhà Peakview, Số 36 Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, TP Hà Nội",Qui mô công ty: 100-200,Website: Koeitecmo.vn,Loại hình hoạt động: 100% vốn nước ngoài,"Công ty KOEI TECMO SOFTWARE VIỆT NAM là công ty sản xuất phần mềm được thành lập tại Hà Nội vào tháng 9 năm 2009 bởi công ty cổ phần KOEI TECMO GAMES, nhà sản xuất phần mềm game hàng đầu Nhật Bản.
Trải qua hơn 10 năm hình thành và phát triển, KOEI TECMO VIETNAM (KTV) đang dần lớn mạnh và trên đà phát triển vượt bậc cả về chất và lượng. Khi mới thành lập chỉ với 10 thành viên với một bộ phận Chế tác đồ họa Game, đến nay sau bao nỗ lực vươn mình, KTV đã phát triển mở rộng thêm 3 bộ phận nghiệp vụ: bộ phận Lập Trình Game, Planer Game, bộ phận Quản Lý Chất Lượng (QA). KTV và các bộ phận này là một phần không thể thiếu đang ngày ngày cùng với các công ty con của Tập Đoàn chung tay, chung sức xây dựng ngôi nhà chung KOEI TECMO để trở
thành “Nhà cung cấp nội dung số giải trí số 1 Thế giới”.
Về Tập đoàn,  KOEI TECMO  đã thành công với nhiều tựa game, không chỉ các tác phẩm tiêu biểu như “ TAM QUỐC VÔ SONG ” ( Dynasty Warriors), “ TAM QUỐC CHÍ” (Romance of the Three  Kingdoms) mà ngay cả trong lĩnh vực game online “ TAM QUỐC VÔ SONG ONLINE” (Dynasty Warriors online), “ THỜI KỲ ĐẠI HÀNG HẢI ONLINE” ( Uncharted  Waters Online) cũng được người hâm mộ khắp nơi trên thế giới đánh giá cao. Các tựa game tiêu biểu gần đây nhất của Tập đoàn như Nioh, Attack on Titan, One Piece: Pirate Warriors.... cũng đang là các tựa Game hấp dẫn thu hút các Game thủ trên toàn thế giới.
KOEI TECMO HOLDINGS được niêm yết tạo Sở giao dịch chứng khoán Tokyo phần 1, có nền tài chính vững mạnh mà ngay cả trong các công ty Nhật Bản cũng hiếm có. Trong bản xếp hạng công ty xuất sắc được tiến hành bởi nhật báo Nikkei Shinbun- tờ báo kinh tế tiêu biểu của Nhật Bản, công ty luôn xếp thứ hạng cao.
Tập đoàn KOEI TECMO ngay từ những năm 1980, thời bình minh của ngành công nghiệp game, đã luôn tích cực xây dựng thể chế hợp tác với chi nhánh nước ngoài. Hiện nay, hệ thống cơ sở phát triển nối liền giữa Trung Quốc, Việt Nam, Singapore lấy Nhật Bản làm trung tâm cùng với mạng lưới thương mại phủ khắp châu Á, châu Âu và Bắc Mỹ đã được thiết lập vững chắc. Nhân viên ưu tú từ các nước sẽ tập trung lại cùng nhau tạo nên nội dung số giải trí đặc sắc và cung cấp nhanh chóng đến khách hàng ở khắp nơi trên toàn thế giới, đây chính là một trong những thế mạnh của tập đoàn chúng tôi có được nhờ hệ thống cơ sở phát triển và chi nhánh thương mại trải khắp toàn cầu.
Tập đoàn KOEI TECMO cung cấp môi trường làm việc thuận lợi để mọi nhân viên có thể chuyên tâm vào công việc, trong đó đặc biệt chú trọng việc đào tạo nguồn nhân lực. Chúng tôi đánh giá cao tài năng và cá tính của từng nhân viên, và thông qua chương trình đào tạo chi tiết gắn với thiết bị hiện đại để phát triển các bạn trở thành chuyên gia trong lĩnh vực phát triển phần mềm games.
Bạn đã sẵn sàng trở thành một thành viên của tập đoàn KOEI TECMO để tạo ra các nội dung giải trí đặc sắc làm say mê game thủ trên toàn thế giới? Hãy cũng chúng tôi hiện thực hóa “ ước mơ” của mình.",https://images.careerviet.vn/employer_folders/lot2/155122/148x148/162626logocongty-2.jpg
https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-xay-dung-an-phu-gia.35A7A247.html,35A7A247,Công ty Cổ phần Xây Dựng An Phú Gia,"178/11 Đường Nguyễn Văn Thương, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh",Qui mô công ty: 100-499,Website: anphugia.com.vn,Loại hình hoạt động: Cổ phần,"Trong suốt quá trình hoạt động, với cơ cấu tổ chức khoa học, hệ thống máy móc thiết bị phục vụ cho công tác đầy đủ, hiện đại,... mục tiêu của Công ty CP Xây dựng An Phú Gia là trở thành một doanh nghiệp có uy tín trong ngành xây dựng ở Việt Nam và trong khu vực. Vì vậy các sản phẩm của Công ty CP Xây dựng An Phú Gia khi đưa ra thị trường sử dụng luôn có chất lượng cao, phù hợp với các tiêu chuẩn được áp dụng và đáp ứng cao nhất yêu cầu của khách hàng.
Để đạt được mục tiêu trên Công ty CP Xây dựng An Phú Gia thực hiện Hệ thống quản lý chất lượng dựa trên các yêu cầu của Tiêu chuẩn quốc tế ISO 9001:2015, đồng thời không ngừng cải tiến phương pháp quản lý, nâng cao trình độ của cán bộ công nhân viên, nâng cao năng lực máy móc thiết bị và đổi mới công nghệ sản xuất nhằm đảm bảo chất lượng cao cho sản phẩm.
Giám đốc Công ty CP Xây dựng An Phú Gia cam kết và yêu cầu toàn thể cán bộ công nhân viên trong công ty thấu hiểu Chính sách chất lượng của công ty, thực hiện theo Hệ thống quản lý chất lượng ISO 9001:2015, làm việc hết khả năng của mình vì uy tín và sự phát triển bền vững của Công ty.",https://images.careerviet.vn/employer_folders/lot3/178503/148x148/113355capture.png
https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-san-xuat-va-thuong-mai-united-vision.35A958EF.html,35A958EF,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI UNITED VISION,"07 đường Nguyễn Chí Thanh, phường 9, quận 5, TP.HCM",Qui mô công ty: 100-499,Website: https://www.unitedvision.com.vn/,Loại hình hoạt động: Trách nhiệm hữu hạn,"Với hơn 10 năm kinh nghiệm trong lĩnh vực cung cấp các nguyên liệu và trang thiết bị ngành bánh. United Vision hiện nay đã có một bước chuyển mình mạnh mẽ. Giờ đây, khách hàng đến với chúng tôi có thể tìm thấy đa dạng các giải pháp thông minh cho ngành dịch vụ ăn uống.
03 lĩnh vực lớn mà United Vision hiện đang tập trung phát triển là: HORECA, Pastry&Bakery và Ingredients.
Chúng tôi không ngừng tập trung và phát triển 03 lĩnh vực trên, nhằm mang lại giải pháp tối ưu nhất để khách hàng của mình dễ dàng giải quyết toàn bộ vấn đề gặp phải trong ngành dịch vụ ăn uống.
United Vision đưa ra hệ thống sản phẩm và dịch vụ toàn diện trong lĩnh vực bếp bánh, bếp công nghiệp cũng như ngành dịch vụ ăn uống nói chung:
Máy móc - dụng cụ - khuôn: Đa dạng các dòng máy và khuôn nhập khẩu từ các thương hiệu hàng đầu thế giới như: Unox, Coldline, Pavoni, Skipio... Sản phẩm có tuổi thọ cao, đa năng với công suất lớn.
Nguyên liệu: Socola nguyên liệu, nguyên liệu bánh, nguyên liệu kem…
Sản phẩm trang trí bánh
Dịch vụ tư vấn thiết kế không gian bếp, thi công, lắp đặt bảo trì máy móc trên toàn quốc.",https://images.careerviet.vn/employer_folders/lot9/290799/148x148/175339screenshot2023-02-01175217.jpg
https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-cp-iig-viet-nam.35A640BD.html,35A640BD,Công ty CP IIG Việt Nam,"Trụ sở chính: Tòa nhà 75 Giang Văn Minh, Đội Cấn, Ba Đình, Hà Nội",Qui mô công ty: 100-499,Website: https://iigvietnam.com,Loại hình hoạt động: Cổ phần,"1. IIG Việt Nam được thành lập vào năm 2000. Trải qua 24 năm hình thành và phát triển, IIG Việt Nam hiện là tổ chức hàng đầu trong lĩnh vực Khảo thí và Kiểm định Giáo dục tại Việt Nam. Mạng lưới hoạt động của chúng tôi trải dài toàn quốc với Trụ sở chính và 02 Văn phòng tại Hà Nội; 02 Chi nhánh tại Đà Nẵng và TP. Hồ Chí Minh.
2. IIG Việt Nam hiện đang là Đại diện quốc gia của nhiều Tổ chức hàng đầu thế giới như Viện Khảo thí Giáo dục Hoa Kỳ (ETS), Tổ chức Khảo thí Tin học hàng đầu CERTIPORT, Tập đoàn Sanako, Tổ chức EDUSOFT…
3. Với sứ mệnh ""Nâng tầm Nhân lực Việt"", IIG Việt Nam đang không ngừng khẳng định uy tín trong các lĩnh vực hoạt động như: tổ chức các bài thi tiếng Anh quốc tế (bài thi TOEIC, hệ thống bài thi TOEFL), các bài thi Tin học quốc tế (MOS, IC3, IC3 Spark, MCE, Adobe Certified Professional, Apple Swift) và các bài thi khác như SAT, SSAT, GRE, CFA… ; cung cấp giải pháp tiếng Anh, Tin học quốc tế cho các doanh nghiệp, trường học, cơ quan quản lý giáo dục; kiểm định chất lượng giáo dục; cung cấp giải pháp phòng LAB ngoại ngữ,…
4. Với những đóng góp to lớn vào nền giáo dục nước nhà, IIG Việt Nam vinh dự được Bộ Giáo dục & Đào tạo, Bộ Lao động Thương binh & Xã hội công nhận và hợp tác trong lĩnh vực khảo thí, đào tạo và kiểm định chất lượng. Đồng thời, hàng trăm Tập đoàn/ Doanh nghiệp lớn khác như Viettel, Vinaphone, Mobifone, FPT, Techcombank, VPBank, Ngân hàng ACB, Microsoft Việt Nam, Samsung Việt Nam, Canon Việt Nam, LG Electronics Việt Nam, Fujitsu, Vietnam Airlines,... cũng tin tưởng sử dụng dịch vụ khảo thí và đào tạo của IIG Việt Nam.
Những thành tựu đó là động lực để chúng tôi phấn đấu, không ngừng lớn mạnh từng ngày.",https://images.careerviet.vn/employer_folders/lot7/87997/148x148/1546375e76a029004bab15f25a2.jpg
https://careerviet.vn/vi/nha-tuyen-dung/n-kid-group.35A5BE37.html,35A5BE37,,,,,,,
